,ground_truth_crude,ground_truth_adjusted,mental,antidepressant,psychiatrist,rejected,trajectory,woeful,wounded,abuse,caregiver,misery,kill,anxiety,reckless,nervous,distracted,nothing,health,sad,talk,monitor,unpredictable,distractable,opinion,appetite loss,fatalistic,upset,tearful,sadness,drinking,alienation,warning,misunderstanding,anger,despondent,fragile,down,uneasy,medication,patience,withdrawn,melancholia,nightmarish,pessimistic,pessimism,breakdown,level,endure,fatigue,clinical,failed,dreadful,poor,agitated,anxious,gloomy,amenorrhea,catatonic,distressed,progress,die,paranoid,heal,fight,debilitating,weak,worthless,peers,demoralized,sorrow,melancholy,weepy,irrational,miserable,drugs,worry,crying,treatment,struggle,cruel,hopelessness,irritable,interested,discontented,attitude,fast food,alcohol,crushed,finality,disheartened,unfulfilled,separation,pain,sympathetic,grouchy,disinterest,tragic,discrimination,seriousness,obesity,unconcerned,unloved,talking,death,detriment,grief,uncomfortable,observation,tragedy,unhappy,education,diagnosis,therapy,low sex drive,isolation,fat,trapped,abnormal,family,exhausted,gain,vulnerable,depressed,resulting,studies,terrified,uncooperative,unsettling,esteem,afraid,tired,prevent,protect,inactivity,suffer,desperate,insecure,media,distraught,crisis,suffering,anguish,grieving,withdrawal,lousy,need,burger,weight loss,physician,affect,broken,child,patient,help,devastated,dismal,pattern,disorder,friends,excluded,problem,skills,needy,shattered,evaluation,fatigued,inconsolable,inadequate,morbid,counsel,diet,desolate,hurt,freaking,overcome,lonely,wretched,overeating,mental health,agony,donut,injured,defeated,insomnia,low,sorrowful,suicidal,suicide,uncertain,wailing,fear,substance abuse,youth,antisocial,solitary,aid,moody,blase,forlorn,confusion,consumed,feelings,validation,courage,alone,panic,oppressed,improvement,downhearted,knowledgeable,dog days,abandoned,troubled,siblings,sleep,oncoming,despair,strength,isolated,scared,irritability,reactive,empty,hot-line,inability,depression,negative,sport,dejected
Pennsylvania,18.5,18.8,72.0,55.0,84.0,75.0,52.0,73.0,48.0,95.0,14.0,22.0,80.0,85.0,65.0,76.0,47.0,79.0,68.0,30.0,41.0,38.0,59.0,0.0,40.0,74.0,59.0,93.0,69.0,85.0,83.0,52.0,57.0,44.0,80.0,64.0,84.0,85.0,81.0,81.0,79.0,88.0,65.0,19.0,61.0,68.0,69.0,87.0,42.0,81.0,74.0,78.0,87.0,92.0,55.0,76.0,59.0,81.0,43.0,48.0,19.0,82.0,68.0,35.0,70.0,68.0,91.0,69.0,50.0,62.0,53.0,76.0,56.0,58.0,96.0,49.0,79.0,90.0,90.0,72.0,84.0,62.0,79.0,89.0,51.0,31.0,52.0,92.0,62.0,38.0,29.0,51.0,72.0,84.0,69.0,28.0,100.0,73.0,78.0,43.0,70.0,40.0,66.0,54.0,91.0,70.0,80.0,78.0,82.0,70.0,69.0,58.0,86.0,92.0,64.0,81.0,89.0,67.0,65.0,87.0,56.0,94.0,45.0,83.0,45.0,70.0,70.0,28.0,82.0,77.0,82.0,90.0,82.0,82.0,43.0,73.0,67.0,70.0,72.0,46.0,80.0,66.0,55.0,49.0,88.0,52.0,88.0,63.0,73.0,89.0,78.0,14.0,84.0,68.0,78.0,45.0,28.0,65.0,85.0,93.0,66.0,91.0,76.0,57.0,82.0,63.0,62.0,43.0,52.0,48.0,36.0,83.0,61.0,70.0,57.0,64.0,68.0,45.0,47.0,57.0,52.0,68.0,82.0,46.0,75.0,78.0,43.0,70.0,80.0,44.0,46.0,50.0,44.0,71.0,65.0,87.0,77.0,18.0,38.0,45.0,76.0,49.0,62.0,26.0,65.0,71.0,86.0,51.0,66.0,99.0,68.0,56.0,100.0,63.0,73.0,93.0,44.0,67.0,77.0,69.0,77.0,65.0,75.0,84.0,33.0,70.0,83.0,84.0,77.0,60.0
Rhode Island,21.3,21.6,74.0,52.0,82.0,89.0,31.0,0.0,29.0,75.0,21.0,19.0,78.0,87.0,58.0,90.0,45.0,72.0,70.0,31.0,39.0,40.0,45.0,0.0,23.0,59.0,0.0,73.0,0.0,97.0,89.0,86.0,63.0,48.0,68.0,9.0,55.0,80.0,32.0,76.0,76.0,30.0,97.0,0.0,41.0,35.0,75.0,85.0,64.0,75.0,81.0,73.0,59.0,87.0,87.0,91.0,34.0,47.0,44.0,34.0,12.0,78.0,60.0,36.0,65.0,41.0,96.0,38.0,43.0,0.0,48.0,74.0,0.0,100.0,88.0,42.0,83.0,96.0,83.0,83.0,84.0,0.0,52.0,86.0,0.0,34.0,50.0,89.0,53.0,0.0,0.0,0.0,64.0,79.0,80.0,0.0,0.0,72.0,69.0,0.0,78.0,0.0,0.0,50.0,94.0,55.0,67.0,84.0,66.0,65.0,43.0,65.0,68.0,97.0,0.0,85.0,86.0,56.0,68.0,77.0,45.0,92.0,41.0,88.0,51.0,100.0,39.0,0.0,0.0,63.0,90.0,86.0,77.0,77.0,9.0,63.0,79.0,65.0,54.0,51.0,77.0,98.0,70.0,64.0,83.0,61.0,84.0,74.0,71.0,79.0,81.0,12.0,74.0,63.0,74.0,54.0,26.0,59.0,85.0,92.0,76.0,94.0,81.0,36.0,98.0,67.0,99.0,20.0,37.0,41.0,30.0,80.0,90.0,66.0,73.0,52.0,68.0,49.0,27.0,59.0,59.0,89.0,93.0,63.0,42.0,76.0,43.0,79.0,88.0,67.0,33.0,51.0,80.0,60.0,59.0,60.0,66.0,15.0,45.0,43.0,53.0,63.0,71.0,24.0,50.0,76.0,84.0,56.0,73.0,0.0,76.0,49.0,81.0,71.0,73.0,87.0,0.0,54.0,73.0,78.0,67.0,61.0,65.0,83.0,0.0,73.0,82.0,94.0,79.0,100.0
South Carolina,19.5,19.2,74.0,68.0,65.0,63.0,36.0,34.0,43.0,65.0,15.0,21.0,93.0,73.0,63.0,78.0,46.0,91.0,63.0,27.0,100.0,32.0,39.0,0.0,24.0,100.0,69.0,85.0,0.0,63.0,78.0,55.0,56.0,44.0,84.0,41.0,77.0,93.0,38.0,82.0,74.0,53.0,42.0,0.0,70.0,62.0,57.0,86.0,65.0,87.0,42.0,59.0,67.0,87.0,66.0,83.0,75.0,45.0,42.0,46.0,16.0,87.0,69.0,38.0,71.0,57.0,87.0,63.0,51.0,35.0,59.0,82.0,45.0,65.0,60.0,49.0,86.0,87.0,77.0,76.0,76.0,30.0,64.0,84.0,32.0,38.0,80.0,80.0,57.0,11.0,57.0,67.0,80.0,87.0,68.0,32.0,0.0,73.0,69.0,25.0,55.0,48.0,65.0,55.0,85.0,50.0,81.0,73.0,67.0,68.0,54.0,78.0,69.0,69.0,55.0,64.0,100.0,63.0,69.0,99.0,45.0,96.0,50.0,81.0,59.0,68.0,57.0,0.0,38.0,72.0,72.0,88.0,74.0,75.0,43.0,68.0,60.0,91.0,43.0,46.0,70.0,68.0,62.0,48.0,77.0,34.0,98.0,76.0,81.0,67.0,80.0,14.0,95.0,56.0,92.0,30.0,30.0,61.0,69.0,76.0,41.0,80.0,75.0,66.0,71.0,51.0,54.0,67.0,47.0,57.0,23.0,82.0,47.0,86.0,58.0,79.0,69.0,49.0,31.0,70.0,39.0,56.0,70.0,47.0,50.0,87.0,26.0,69.0,76.0,36.0,42.0,58.0,40.0,54.0,72.0,63.0,55.0,22.0,60.0,51.0,67.0,47.0,72.0,16.0,60.0,72.0,82.0,62.0,69.0,0.0,66.0,64.0,75.0,56.0,73.0,92.0,48.0,58.0,76.0,63.0,97.0,57.0,64.0,70.0,0.0,58.0,74.0,79.0,71.0,63.0
South Dakota,16.1,16.3,73.0,32.0,53.0,55.0,58.0,0.0,100.0,77.0,13.0,9.0,87.0,79.0,100.0,88.0,42.0,72.0,81.0,33.0,67.0,49.0,83.0,0.0,100.0,0.0,0.0,77.0,0.0,88.0,88.0,79.0,62.0,0.0,72.0,83.0,66.0,83.0,0.0,95.0,99.0,91.0,51.0,0.0,51.0,0.0,57.0,95.0,69.0,89.0,46.0,71.0,47.0,88.0,29.0,88.0,63.0,66.0,59.0,54.0,7.0,90.0,44.0,35.0,60.0,0.0,86.0,83.0,43.0,0.0,65.0,86.0,0.0,55.0,79.0,44.0,94.0,86.0,93.0,100.0,74.0,0.0,61.0,62.0,0.0,39.0,64.0,92.0,56.0,0.0,0.0,0.0,79.0,82.0,100.0,0.0,0.0,45.0,71.0,0.0,83.0,0.0,0.0,49.0,81.0,60.0,76.0,80.0,65.0,81.0,38.0,65.0,91.0,84.0,0.0,89.0,78.0,77.0,86.0,87.0,54.0,87.0,70.0,75.0,100.0,66.0,55.0,0.0,0.0,76.0,80.0,77.0,100.0,76.0,0.0,100.0,52.0,33.0,48.0,93.0,81.0,61.0,30.0,43.0,72.0,0.0,92.0,58.0,76.0,70.0,92.0,15.0,90.0,69.0,85.0,17.0,18.0,76.0,87.0,81.0,50.0,80.0,92.0,68.0,93.0,72.0,26.0,0.0,82.0,100.0,22.0,89.0,71.0,68.0,32.0,69.0,64.0,51.0,100.0,59.0,58.0,58.0,66.0,56.0,47.0,83.0,16.0,79.0,89.0,69.0,30.0,47.0,53.0,88.0,87.0,41.0,27.0,34.0,37.0,67.0,92.0,45.0,67.0,20.0,73.0,66.0,68.0,41.0,72.0,0.0,90.0,98.0,88.0,68.0,100.0,92.0,0.0,100.0,100.0,100.0,75.0,72.0,79.0,72.0,0.0,77.0,94.0,94.0,76.0,0.0
Tennessee,21.2,21.1,72.0,68.0,81.0,69.0,53.0,54.0,43.0,71.0,16.0,21.0,88.0,77.0,67.0,71.0,35.0,85.0,70.0,28.0,61.0,37.0,60.0,0.0,23.0,76.0,62.0,93.0,28.0,75.0,74.0,52.0,58.0,37.0,78.0,33.0,77.0,99.0,62.0,87.0,85.0,66.0,61.0,11.0,63.0,38.0,63.0,87.0,49.0,86.0,56.0,69.0,71.0,81.0,48.0,89.0,55.0,77.0,56.0,63.0,11.0,85.0,66.0,39.0,72.0,63.0,90.0,58.0,52.0,64.0,68.0,77.0,29.0,46.0,71.0,53.0,94.0,88.0,91.0,83.0,69.0,65.0,76.0,77.0,37.0,32.0,85.0,80.0,55.0,67.0,91.0,38.0,77.0,90.0,65.0,33.0,0.0,58.0,63.0,70.0,70.0,38.0,51.0,54.0,90.0,39.0,79.0,70.0,72.0,68.0,69.0,65.0,93.0,79.0,72.0,69.0,95.0,74.0,82.0,84.0,55.0,91.0,49.0,80.0,54.0,73.0,70.0,31.0,75.0,68.0,79.0,83.0,73.0,80.0,36.0,69.0,62.0,65.0,47.0,49.0,67.0,70.0,56.0,47.0,74.0,45.0,95.0,83.0,94.0,85.0,71.0,14.0,99.0,69.0,83.0,51.0,29.0,66.0,75.0,80.0,69.0,82.0,66.0,57.0,74.0,63.0,80.0,49.0,40.0,52.0,24.0,90.0,44.0,86.0,58.0,77.0,73.0,45.0,42.0,63.0,53.0,70.0,75.0,100.0,54.0,82.0,32.0,72.0,73.0,45.0,48.0,50.0,44.0,65.0,82.0,68.0,43.0,28.0,45.0,45.0,70.0,47.0,72.0,16.0,63.0,73.0,89.0,44.0,67.0,0.0,79.0,67.0,71.0,70.0,69.0,95.0,50.0,62.0,75.0,64.0,78.0,73.0,70.0,73.0,0.0,61.0,75.0,77.0,69.0,50.0
Texas,16.1,15.9,53.0,53.0,77.0,67.0,51.0,65.0,38.0,57.0,14.0,18.0,76.0,65.0,57.0,75.0,44.0,100.0,52.0,33.0,39.0,42.0,61.0,0.0,25.0,65.0,31.0,83.0,44.0,84.0,72.0,46.0,62.0,42.0,77.0,63.0,66.0,80.0,61.0,76.0,85.0,68.0,55.0,26.0,79.0,55.0,59.0,85.0,60.0,69.0,47.0,69.0,63.0,75.0,59.0,81.0,83.0,47.0,36.0,46.0,10.0,79.0,63.0,35.0,81.0,46.0,85.0,50.0,43.0,46.0,53.0,79.0,43.0,51.0,69.0,41.0,73.0,93.0,71.0,75.0,72.0,61.0,58.0,80.0,25.0,35.0,89.0,79.0,59.0,35.0,78.0,46.0,68.0,71.0,65.0,48.0,44.0,57.0,63.0,32.0,56.0,55.0,45.0,51.0,82.0,50.0,69.0,68.0,61.0,69.0,58.0,53.0,59.0,66.0,67.0,75.0,87.0,65.0,63.0,76.0,53.0,88.0,50.0,69.0,51.0,62.0,58.0,45.0,51.0,70.0,71.0,78.0,71.0,79.0,33.0,68.0,55.0,81.0,44.0,53.0,66.0,64.0,56.0,42.0,62.0,41.0,95.0,89.0,74.0,66.0,74.0,16.0,89.0,52.0,73.0,42.0,25.0,55.0,61.0,74.0,62.0,79.0,68.0,62.0,79.0,51.0,85.0,52.0,50.0,50.0,23.0,74.0,64.0,74.0,57.0,72.0,69.0,47.0,39.0,36.0,44.0,73.0,74.0,50.0,41.0,76.0,41.0,65.0,77.0,54.0,53.0,46.0,36.0,53.0,56.0,58.0,36.0,52.0,59.0,47.0,61.0,53.0,72.0,22.0,61.0,67.0,73.0,49.0,62.0,54.0,68.0,52.0,62.0,61.0,70.0,84.0,80.0,66.0,74.0,69.0,85.0,44.0,63.0,74.0,0.0,55.0,69.0,78.0,76.0,51.0
Utah,20.8,20.8,72.0,66.0,54.0,56.0,50.0,0.0,27.0,69.0,11.0,23.0,82.0,77.0,62.0,68.0,75.0,74.0,71.0,36.0,45.0,48.0,30.0,0.0,27.0,65.0,100.0,82.0,58.0,93.0,64.0,50.0,60.0,57.0,78.0,60.0,90.0,88.0,45.0,73.0,93.0,37.0,23.0,22.0,59.0,36.0,65.0,89.0,61.0,82.0,48.0,83.0,54.0,78.0,56.0,59.0,60.0,37.0,58.0,40.0,15.0,90.0,61.0,36.0,70.0,47.0,75.0,57.0,59.0,57.0,62.0,70.0,49.0,62.0,87.0,40.0,82.0,77.0,75.0,71.0,75.0,37.0,57.0,64.0,0.0,35.0,88.0,73.0,49.0,0.0,57.0,63.0,63.0,72.0,37.0,16.0,0.0,49.0,68.0,10.0,73.0,0.0,58.0,50.0,86.0,59.0,93.0,72.0,66.0,71.0,57.0,59.0,60.0,91.0,48.0,79.0,86.0,73.0,54.0,96.0,64.0,89.0,46.0,83.0,54.0,68.0,62.0,0.0,63.0,86.0,78.0,76.0,85.0,84.0,45.0,86.0,60.0,71.0,54.0,37.0,69.0,56.0,39.0,49.0,71.0,26.0,96.0,84.0,76.0,63.0,81.0,14.0,69.0,43.0,85.0,34.0,24.0,88.0,79.0,86.0,38.0,78.0,73.0,67.0,92.0,53.0,77.0,60.0,70.0,63.0,30.0,80.0,62.0,64.0,80.0,84.0,70.0,57.0,54.0,63.0,100.0,94.0,86.0,41.0,38.0,74.0,11.0,86.0,90.0,53.0,45.0,56.0,65.0,92.0,70.0,41.0,41.0,17.0,25.0,71.0,60.0,45.0,61.0,31.0,77.0,70.0,82.0,54.0,78.0,0.0,49.0,66.0,68.0,61.0,64.0,98.0,96.0,69.0,77.0,55.0,74.0,55.0,75.0,91.0,0.0,63.0,88.0,88.0,73.0,52.0
Vermont,22.8,23.1,96.0,58.0,72.0,56.0,39.0,0.0,55.0,89.0,14.0,100.0,73.0,74.0,61.0,94.0,100.0,69.0,80.0,31.0,49.0,49.0,0.0,0.0,31.0,0.0,0.0,67.0,0.0,85.0,89.0,34.0,64.0,0.0,73.0,33.0,64.0,94.0,0.0,58.0,75.0,53.0,100.0,0.0,24.0,0.0,78.0,80.0,48.0,77.0,66.0,79.0,61.0,93.0,56.0,96.0,91.0,21.0,45.0,44.0,15.0,83.0,56.0,42.0,53.0,0.0,69.0,74.0,55.0,0.0,47.0,53.0,0.0,64.0,41.0,68.0,89.0,79.0,92.0,74.0,65.0,0.0,62.0,67.0,0.0,37.0,32.0,95.0,100.0,0.0,0.0,0.0,81.0,74.0,74.0,0.0,0.0,70.0,91.0,0.0,69.0,0.0,0.0,54.0,94.0,0.0,100.0,46.0,59.0,100.0,62.0,81.0,68.0,98.0,0.0,81.0,82.0,60.0,56.0,97.0,28.0,80.0,74.0,90.0,15.0,91.0,71.0,0.0,0.0,84.0,66.0,71.0,83.0,74.0,0.0,67.0,77.0,78.0,60.0,34.0,90.0,54.0,48.0,43.0,83.0,0.0,79.0,46.0,66.0,77.0,87.0,15.0,77.0,52.0,74.0,81.0,35.0,89.0,88.0,84.0,48.0,90.0,73.0,60.0,82.0,61.0,0.0,0.0,51.0,36.0,24.0,78.0,57.0,54.0,62.0,80.0,72.0,48.0,12.0,86.0,30.0,75.0,96.0,58.0,34.0,78.0,15.0,52.0,84.0,27.0,88.0,48.0,100.0,74.0,60.0,100.0,83.0,19.0,18.0,55.0,72.0,88.0,73.0,23.0,67.0,70.0,90.0,100.0,48.0,0.0,99.0,53.0,91.0,45.0,60.0,87.0,0.0,56.0,66.0,70.0,62.0,55.0,87.0,100.0,0.0,82.0,85.0,80.0,82.0,0.0
Virginia,15.7,15.7,50.0,36.0,56.0,63.0,30.0,30.0,38.0,49.0,9.0,18.0,59.0,44.0,64.0,50.0,40.0,60.0,43.0,100.0,33.0,30.0,62.0,0.0,24.0,54.0,23.0,60.0,46.0,69.0,55.0,34.0,41.0,57.0,61.0,32.0,57.0,69.0,45.0,48.0,70.0,60.0,49.0,4.0,36.0,44.0,46.0,59.0,40.0,53.0,37.0,60.0,53.0,66.0,41.0,58.0,84.0,41.0,28.0,29.0,17.0,55.0,48.0,27.0,50.0,34.0,73.0,39.0,39.0,17.0,54.0,53.0,26.0,33.0,58.0,31.0,55.0,78.0,62.0,66.0,72.0,35.0,46.0,69.0,9.0,100.0,42.0,57.0,35.0,56.0,41.0,36.0,66.0,55.0,44.0,19.0,41.0,44.0,53.0,24.0,44.0,23.0,36.0,43.0,63.0,38.0,53.0,48.0,52.0,59.0,55.0,59.0,47.0,50.0,50.0,58.0,73.0,46.0,47.0,61.0,38.0,74.0,52.0,50.0,33.0,62.0,52.0,14.0,50.0,57.0,55.0,56.0,62.0,70.0,33.0,57.0,50.0,60.0,44.0,31.0,56.0,66.0,39.0,26.0,53.0,41.0,61.0,47.0,50.0,47.0,52.0,11.0,67.0,59.0,56.0,36.0,69.0,47.0,50.0,65.0,49.0,85.0,62.0,42.0,59.0,58.0,38.0,30.0,35.0,30.0,29.0,59.0,48.0,53.0,37.0,73.0,70.0,25.0,34.0,34.0,44.0,45.0,56.0,43.0,42.0,58.0,26.0,45.0,56.0,35.0,42.0,37.0,45.0,43.0,49.0,58.0,41.0,13.0,33.0,38.0,56.0,40.0,59.0,22.0,43.0,100.0,54.0,32.0,65.0,10.0,52.0,35.0,48.0,43.0,52.0,69.0,33.0,50.0,55.0,51.0,60.0,30.0,52.0,58.0,27.0,43.0,50.0,59.0,99.0,38.0
Washington,21.7,21.7,76.0,66.0,57.0,69.0,43.0,57.0,37.0,59.0,19.0,22.0,78.0,72.0,70.0,60.0,46.0,78.0,75.0,31.0,39.0,47.0,42.0,0.0,23.0,63.0,83.0,77.0,49.0,83.0,75.0,43.0,59.0,61.0,76.0,47.0,71.0,84.0,50.0,67.0,81.0,59.0,77.0,38.0,50.0,47.0,58.0,79.0,31.0,77.0,43.0,90.0,74.0,76.0,58.0,77.0,70.0,48.0,47.0,42.0,11.0,78.0,74.0,38.0,69.0,50.0,78.0,56.0,56.0,19.0,61.0,71.0,100.0,46.0,66.0,47.0,65.0,85.0,80.0,72.0,75.0,38.0,57.0,74.0,53.0,30.0,66.0,92.0,47.0,71.0,39.0,43.0,73.0,71.0,66.0,60.0,78.0,59.0,69.0,36.0,60.0,9.0,20.0,48.0,89.0,44.0,87.0,74.0,61.0,64.0,72.0,45.0,53.0,85.0,54.0,79.0,78.0,60.0,48.0,79.0,62.0,81.0,58.0,70.0,34.0,55.0,70.0,44.0,64.0,66.0,67.0,77.0,79.0,83.0,42.0,57.0,56.0,72.0,51.0,38.0,71.0,68.0,55.0,38.0,77.0,57.0,86.0,79.0,70.0,54.0,66.0,13.0,72.0,43.0,71.0,38.0,23.0,73.0,70.0,81.0,47.0,83.0,74.0,53.0,82.0,60.0,80.0,75.0,44.0,51.0,27.0,78.0,56.0,61.0,53.0,61.0,73.0,40.0,40.0,70.0,55.0,69.0,80.0,38.0,41.0,82.0,22.0,76.0,84.0,42.0,50.0,48.0,30.0,63.0,62.0,73.0,68.0,20.0,29.0,62.0,70.0,52.0,56.0,30.0,58.0,68.0,72.0,50.0,60.0,96.0,65.0,58.0,74.0,54.0,63.0,99.0,56.0,66.0,72.0,73.0,64.0,51.0,73.0,95.0,0.0,60.0,70.0,76.0,79.0,37.0
West Virginia,23.1,23.4,74.0,92.0,88.0,69.0,42.0,0.0,49.0,100.0,13.0,29.0,100.0,100.0,80.0,87.0,23.0,85.0,64.0,35.0,57.0,40.0,46.0,0.0,30.0,82.0,0.0,100.0,0.0,89.0,92.0,49.0,53.0,40.0,100.0,73.0,58.0,91.0,32.0,100.0,76.0,41.0,71.0,0.0,51.0,53.0,62.0,96.0,27.0,96.0,50.0,71.0,85.0,90.0,32.0,73.0,69.0,97.0,65.0,34.0,12.0,100.0,71.0,38.0,73.0,83.0,100.0,100.0,47.0,0.0,67.0,68.0,60.0,55.0,79.0,60.0,100.0,95.0,100.0,54.0,65.0,0.0,100.0,75.0,0.0,35.0,57.0,91.0,67.0,0.0,46.0,0.0,72.0,100.0,78.0,48.0,0.0,41.0,79.0,0.0,74.0,0.0,0.0,61.0,97.0,44.0,76.0,47.0,81.0,77.0,68.0,100.0,100.0,88.0,0.0,85.0,93.0,71.0,84.0,97.0,100.0,100.0,55.0,98.0,59.0,86.0,61.0,0.0,0.0,62.0,99.0,100.0,79.0,83.0,45.0,78.0,67.0,63.0,44.0,19.0,71.0,78.0,76.0,72.0,100.0,21.0,100.0,52.0,94.0,100.0,90.0,15.0,90.0,69.0,100.0,18.0,43.0,81.0,95.0,92.0,77.0,86.0,80.0,64.0,85.0,65.0,72.0,62.0,50.0,41.0,27.0,100.0,46.0,100.0,89.0,78.0,68.0,17.0,48.0,62.0,62.0,63.0,90.0,56.0,87.0,91.0,26.0,67.0,83.0,8.0,33.0,56.0,72.0,70.0,49.0,68.0,91.0,13.0,25.0,74.0,92.0,41.0,65.0,15.0,69.0,85.0,98.0,17.0,57.0,0.0,42.0,91.0,95.0,75.0,94.0,97.0,42.0,58.0,76.0,64.0,92.0,64.0,81.0,87.0,0.0,70.0,100.0,92.0,71.0,51.0
Wisconsin,17.5,17.5,71.0,62.0,57.0,64.0,42.0,41.0,44.0,71.0,100.0,21.0,83.0,84.0,73.0,80.0,47.0,69.0,80.0,32.0,40.0,39.0,31.0,0.0,25.0,63.0,70.0,81.0,71.0,77.0,85.0,52.0,60.0,54.0,74.0,52.0,87.0,83.0,61.0,77.0,78.0,57.0,60.0,66.0,57.0,61.0,62.0,83.0,44.0,82.0,51.0,73.0,53.0,85.0,56.0,66.0,57.0,56.0,64.0,38.0,11.0,89.0,63.0,35.0,59.0,46.0,80.0,58.0,45.0,28.0,53.0,84.0,66.0,49.0,62.0,43.0,73.0,80.0,79.0,70.0,62.0,78.0,70.0,77.0,0.0,33.0,68.0,91.0,51.0,43.0,56.0,31.0,67.0,79.0,68.0,29.0,0.0,53.0,74.0,36.0,71.0,39.0,33.0,50.0,90.0,45.0,78.0,66.0,60.0,68.0,53.0,58.0,73.0,78.0,47.0,80.0,84.0,51.0,60.0,95.0,56.0,84.0,51.0,76.0,42.0,68.0,52.0,51.0,38.0,68.0,76.0,77.0,83.0,79.0,60.0,56.0,72.0,63.0,47.0,41.0,70.0,58.0,47.0,55.0,75.0,23.0,87.0,62.0,67.0,60.0,83.0,15.0,88.0,50.0,80.0,29.0,25.0,74.0,80.0,81.0,51.0,87.0,83.0,48.0,73.0,56.0,92.0,71.0,47.0,41.0,31.0,78.0,51.0,69.0,45.0,62.0,70.0,40.0,49.0,71.0,59.0,54.0,91.0,37.0,47.0,79.0,29.0,74.0,72.0,40.0,59.0,49.0,46.0,81.0,62.0,79.0,30.0,17.0,25.0,42.0,76.0,60.0,60.0,19.0,67.0,68.0,81.0,53.0,72.0,0.0,59.0,56.0,74.0,53.0,76.0,87.0,60.0,69.0,77.0,60.0,68.0,51.0,84.0,83.0,0.0,76.0,82.0,81.0,75.0,30.0
Wyoming,20.9,21.0,73.0,69.0,67.0,50.0,57.0,0.0,74.0,72.0,4.0,15.0,88.0,68.0,89.0,77.0,68.0,70.0,65.0,31.0,60.0,35.0,0.0,0.0,27.0,0.0,0.0,73.0,0.0,77.0,82.0,38.0,64.0,0.0,79.0,0.0,94.0,94.0,0.0,77.0,99.0,52.0,0.0,0.0,36.0,0.0,76.0,94.0,36.0,85.0,41.0,71.0,62.0,93.0,21.0,71.0,0.0,47.0,100.0,52.0,10.0,90.0,61.0,33.0,68.0,0.0,75.0,70.0,80.0,0.0,46.0,58.0,0.0,44.0,20.0,45.0,66.0,85.0,79.0,68.0,93.0,0.0,35.0,61.0,0.0,28.0,63.0,98.0,37.0,0.0,0.0,0.0,78.0,74.0,68.0,0.0,0.0,29.0,81.0,0.0,82.0,0.0,0.0,46.0,96.0,0.0,68.0,38.0,68.0,52.0,100.0,73.0,78.0,92.0,0.0,98.0,88.0,70.0,78.0,83.0,35.0,81.0,76.0,68.0,38.0,82.0,0.0,0.0,0.0,70.0,83.0,77.0,74.0,87.0,0.0,58.0,49.0,20.0,100.0,0.0,77.0,56.0,0.0,34.0,57.0,0.0,89.0,56.0,81.0,61.0,85.0,14.0,76.0,50.0,93.0,0.0,0.0,88.0,84.0,88.0,57.0,86.0,86.0,17.0,39.0,57.0,0.0,0.0,54.0,52.0,13.0,90.0,0.0,63.0,37.0,72.0,63.0,100.0,0.0,67.0,55.0,60.0,84.0,48.0,28.0,75.0,0.0,56.0,98.0,0.0,0.0,47.0,91.0,69.0,68.0,78.0,32.0,15.0,0.0,0.0,40.0,100.0,46.0,8.0,76.0,77.0,61.0,59.0,50.0,0.0,0.0,79.0,80.0,86.0,74.0,96.0,0.0,60.0,78.0,26.0,84.0,0.0,80.0,65.0,0.0,97.0,95.0,79.0,64.0,0.0
